suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population
DONCASTER,7598,4243,Manningham,58%,"$1,242","$1,446,200",17447
HUGHESDALE,2268,2190,Monash,65%,"$1,340","$1,374,600",16280
BLACKBURN,4821,2501,Whitehorse,75%,"$1,387","$1,485,900",27564
HEATHERTON,1014,463,Kingston,70%,"$1,752","$1,123,700",1371
CLARINDA,2271,640,Kingston,44%,"$1,116","$1,012,900",19027
MENTONE,4507,3922,Kingston,76%,"$1,288","$1,332,300",14158
EPPING,13368,3047,Whittlesea,73%,"$1,283","$673,200",19624
SPRINGVALE,6280,4315,Greater Dandenong,36%,$884,"$895,800",18147
CHELTENHAM,8087,5856,Kingston,74%,"$1,233","$1,167,300",18907
WESTMEADOWS,2446,596,Hume,74%,"$1,388","$684,900",8623
PRESTON,11418,7672,Darebin,63%,"$1,155","$1,075,700",27067
RINGWOOD,6350,4648,Maroondah,79%,"$1,393","$1,024,000",28808
BRUNSWICK,8835,8041,Moreland,62%,"$1,433","$1,265,800",20155
BEAUMARIS,5041,1732,Bayside,79%,"$1,845","$1,882,800",17536
ESSENDON,6869,5592,Moonee Valley,81%,"$1,571","$1,550,000",22442
GLENROY,7882,4021,Moreland,66%,"$1,004","$743,900",27707
RESERVOIR,16913,8713,Darebin,63%,$972,"$861,800",45591
ELTHAM NORTH,2175,118,Nillumbik,85%,"$1,923","$1,227,100",28827
CAMPBELLFIELD,2830,1163,Hume,48%,$786,"$588,600",5480
HAWTHORN,5753,11459,Boroondara,72%,"$1,627","$2,103,800",19166
SANDRINGHAM,3340,2563,Bayside,79%,"$1,836","$1,785,000",8146
BULLEEN,4269,979,Manningham,58%,"$1,225","$1,322,600",10590
FITZROY,3147,5530,Yarra,63%,"$1,483","$1,568,000",9007
KEW,8044,6097,Boroondara,73%,"$2,022","$2,332,200",21677
CARNEGIE,4596,5791,Glen Eira,64%,"$1,287","$1,406,500",30031
DOVETON,3150,953,Casey,59%,$819,"$602,200",9801
BENTLEIGH,5799,3228,Glen Eira,72%,"$1,538","$1,649,200",17630
YARRAVILLE,5855,2072,Maribyrnong,67%,"$1,583","$1,148,100",11645
ALTONA,4843,2394,Hobsons Bay,70%,"$1,160","$1,139,500",11742
ELSTERNWICK,3005,3427,Glen Eira,69%,"$1,497","$1,859,300",10824
DANDENONG,8074,9600,Greater Dandenong,48%,$899,"$685,100",45248
NORTHCOTE,8461,5349,Darebin,69%,"$1,563","$1,630,800",21000
DALLAS,2207,315,Hume,58%,$762,"$514,300",18510
RICHMOND,8875,13869,Yarra,65%,"$1,731","$1,389,100",24112
NUNAWADING,4033,2270,Whitehorse,70%,"$1,202","$1,171,100",20796
KINGSBURY,1234,479,Darebin,69%,"$1,172","$813,800",24119
PRAHRAN,4230,8324,Stonnington,66%,"$1,560","$1,706,800",17776
HEATHMONT,3459,1027,Maroondah,80%,"$1,297","$1,083,000",16322
ATTWOOD,824,102,Hume,74%,"$1,388","$995,100",8623
GREENSBOROUGH,7426,2533,Banyule,83%,"$1,524","$984,000",26045
COBURG,10323,4557,Moreland,63%,"$1,268","$1,129,500",29021
FLEMINGTON,1877,3086,Moonee Valley,62%,"$1,401","$1,069,400",14523
MURRUMBEENA,2947,2728,Glen Eira,64%,"$1,287","$1,574,000",30031
HIGHETT,3939,2524,Bayside,73%,"$1,384","$1,355,400",9299
MITCHAM,5802,3089,Whitehorse,76%,"$1,424","$1,128,700",14482
IVANHOE,4147,2613,Banyule,77%,"$1,709","$1,560,600",14278
OAKLEIGH,3155,1636,Monash,65%,"$1,340","$1,301,400",16280
BURWOOD,5052,3288,Whitehorse,73%,"$1,100","$1,296,800",18501
HEIDELBERG,2066,1742,Banyule,77%,"$1,551","$1,213,100",21826
BROOKLYN,1077,551,Hobsons Bay,56%,"$1,162","$701,800",19978
FAWKNER,4754,1266,Moreland,53%,$865,"$745,500",12899
BUNDOORA,8943,3243,Whittlesea,69%,"$1,172","$876,900",24119
MOOROOLBARK,7655,1413,Yarra Ranges,80%,"$1,360","$874,500",18998
LYSTERFIELD,1797,79,Knox,78%,"$1,392","$1,386,000",35341
CROYDON,9705,5573,Maroondah,81%,"$1,267","$902,900",37491
PARKDALE,4160,2433,Kingston,76%,"$1,492","$1,341,800",24045
MULGRAVE,7213,1477,Monash,60%,"$1,348","$1,022,600",22093
CRAIGIEBURN,19933,1906,Hume,74%,"$1,349","$643,500",25491
COLLINGWOOD,2122,4470,Yarra,60%,"$1,278","$1,275,000",5113
CHADSTONE,3244,1608,Monash,65%,"$1,234","$1,217,700",12357
DELAHEY,2193,541,Brimbank,64%,"$1,491","$648,400",27356
KNOXFIELD,2723,1042,Knox,76%,"$1,310","$909,600",6617
GREENVALE,6480,251,Hume,72%,"$1,730","$942,100",9120
KEYSBOROUGH,9761,1578,Greater Dandenong,49%,"$1,253","$1,006,400",16492
ARMADALE,2838,3841,Stonnington,73%,"$1,713","$1,925,900",8428
BORONIA,8285,4281,Knox,79%,"$1,162","$832,500",20314
BURNLEY,305,258,Yarra,65%,"$1,731","$1,272,500",24112
BALWYN,4589,2796,Boroondara,71%,"$1,563","$2,551,100",13849
SEABROOK,1452,264,Hobsons Bay,67%,"$1,221","$739,400",29313
WARRANWOOD,1338,178,Maroondah,79%,"$1,393","$1,309,600",28808
SEDDON,2035,844,Maribyrnong,49%,"$1,181","$1,148,600",16926
ABBOTSFORD,2304,4706,Yarra,68%,"$1,797","$1,299,400",4025
WANTIRNA,4861,1165,Knox,70%,"$1,463","$1,071,300",31889
NEWPORT,5240,1816,Hobsons Bay,74%,"$1,626","$1,197,100",14791
ELTHAM,6040,1782,Nillumbik,85%,"$1,923","$1,178,700",28827
ALBION,1389,1392,Brimbank,52%,$929,"$739,100",30677
NIDDRIE,2198,1140,Moonee Valley,69%,"$1,204","$1,148,000",13979
STRATHMORE,3101,749,Moonee Valley,81%,"$1,634","$1,643,800",10591
MCKINNON,1953,1107,Glen Eira,72%,"$1,538","$1,683,800",17630
BROADMEADOWS,4395,1983,Hume,58%,$762,"$565,700",18510
BRAYBROOK,2822,1654,Maribyrnong,52%,$792,"$755,400",6573
ST HELENA,800,170,Banyule,83%,"$1,524","$1,163,300",26045
BAYSWATER,4737,3089,Knox,77%,"$1,186","$865,500",19945
CAIRNLEA,2159,192,Brimbank,57%,"$1,423","$969,000",14107
LALOR,8358,1216,Whittlesea,52%,$919,"$678,600",20717
ORMOND,2378,2357,Glen Eira,72%,"$1,538","$1,746,300",17630
MALVERN,3622,3241,Stonnington,78%,"$2,047","$2,337,300",10201
SCORESBY,2159,206,Knox,75%,"$1,486","$1,027,200",5872
BELLFIELD,738,119,Banyule,74%,$938,"$994,800",13096
KEILOR,2226,442,Brimbank,76%,"$1,541","$1,047,100",6503
FOOTSCRAY,5286,6864,Maribyrnong,49%,"$1,181","$869,400",16926
ROWVILLE,9231,1496,Knox,71%,"$1,699","$1,069,100",28725
BONBEACH,2249,1613,Kingston,76%,"$1,179","$1,114,700",19121
VERMONT,3636,1030,Whitehorse,71%,"$1,459","$1,186,300",20802
ELWOOD,3628,8403,Port Phillip,72%,"$1,715","$1,874,000",12829
CAMBERWELL,7459,4358,Boroondara,77%,"$2,122","$2,235,400",15537
ASPENDALE,2432,1048,Kingston,76%,"$1,492","$1,424,900",24045
THORNBURY,6018,4275,Darebin,63%,"$1,275","$1,361,700",16671
MONTMORENCY,3368,1434,Banyule,87%,"$1,457","$1,111,000",8154
KENSINGTON,3940,4804,Melbourne,62%,"$1,401","$1,202,200",14523
TRUGANINA,12111,961,Wyndham,74%,"$1,402","$680,500",39324
ARDEER,1263,335,Brimbank,46%,$895,"$663,400",10176
DONVALE,4065,1346,Manningham,74%,"$1,614","$1,498,500",10274
TEMPLESTOWE,5734,1487,Manningham,64%,"$1,789","$1,759,800",16180
BURNSIDE HEIGHTS,1598,121,Melton,57%,"$1,423","$808,400",14107
SYDENHAM,2811,1400,Brimbank,64%,"$1,491","$658,000",27356
FAIRFIELD,2113,1694,Darebin,73%,"$1,538","$1,615,300",9227
WINDSOR,2201,4448,Stonnington,66%,"$1,560","$1,629,600",17776
MORDIALLOC,2949,2322,Kingston,76%,"$1,492","$1,228,700",24045
CANTERBURY,2781,1325,Boroondara,80%,"$2,352","$2,875,800",7418
HUNTINGDALE,751,342,Monash,65%,"$1,340","$1,192,500",16280
TOORAK,4088,5974,Stonnington,72%,"$1,977","$2,752,300",12797
KILSYTH,4209,1613,Yarra Ranges,82%,"$1,211","$813,100",12665
WERRIBEE,14482,4489,Wyndham,77%,"$1,470","$634,600",36356
KINGSVILLE,1266,832,Maribyrnong,56%,"$1,162","$1,091,300",19978
CLAYTON,5171,5343,Monash,48%,$962,"$1,017,200",18901
WATSONIA,2191,614,Banyule,82%,"$1,300","$879,500",8932
GARDENVALE,298,384,Glen Eira,69%,"$1,497","$1,491,600",10824
HAMPTON,4651,2612,Bayside,78%,"$1,653","$2,032,200",11231
THOMASTOWN,7762,2091,Whittlesea,49%,$900,"$691,800",21735
BRIGHTON,8625,6345,Bayside,77%,"$2,200","$2,483,600",20135
ROSANNA,3073,1156,Banyule,77%,"$1,551","$1,192,000",21826
HALLAM,3494,1290,Casey,56%,"$1,156","$724,000",9061
ALBANVALE,1897,138,Brimbank,46%,$907,"$594,200",54005
JACANA,860,147,Hume,58%,$762,"$577,100",18510
HADFIELD,2326,712,Moreland,66%,"$1,004","$805,000",27707
ABERFELDIE,1410,453,Moonee Valley,81%,"$1,571","$1,926,600",22442
TULLAMARINE,3164,2016,Hume,65%,"$1,150","$706,000",16710
KOOYONG,283,226,Stonnington,78%,"$2,047","$2,232,000",10201
HILLSIDE,4717,798,Melton,64%,"$1,491","$867,300",27356
CARLTON,2909,16139,Melbourne,47%,$633,"$1,480,600",10673
ALPHINGTON,1729,1099,Darebin,73%,"$1,538","$1,729,600",9227
EAGLEMONT,1441,442,Banyule,77%,"$1,551","$2,047,000",21826
OAKLEIGH EAST,2245,1315,Monash,65%,"$1,340","$1,185,500",16280
YALLAMBIE,1286,81,Banyule,79%,"$1,458","$998,200",12063
EUMEMMERRING,610,489,Casey,59%,$819,"$668,900",9801
PLENTY,703,79,Nillumbik,83%,"$2,215","$1,668,900",1529
LAVERTON,2370,488,Hobsons Bay,67%,"$1,221","$603,500",29313
CLAYTON SOUTH,4011,2549,Kingston,44%,"$1,116","$927,200",19027
TRAVANCORE,415,1693,Moonee Valley,67%,"$1,512","$1,386,700",17187
SUNSHINE,4031,1779,Brimbank,52%,$929,"$883,700",30677
COBURG NORTH,3269,947,Moreland,63%,"$1,268","$909,700",29021
ASHWOOD,2378,1176,Monash,73%,"$1,469","$1,436,500",12420
LILYDALE,5989,2379,Yarra Ranges,82%,"$1,284","$908,900",13615
MAIDSTONE,2995,2208,Maribyrnong,56%,"$1,162","$843,300",19978
KEALBA,1111,142,Brimbank,46%,$907,"$704,200",54005
VIEWBANK,2434,356,Banyule,77%,"$1,551","$1,147,300",21826
MACLEOD,3511,1718,Banyule,79%,"$1,458","$1,123,400",12063
CROYDON SOUTH,1772,354,Maroondah,81%,"$1,267","$835,300",37491
CAULFIELD EAST,490,537,Glen Eira,76%,"$1,663","$1,382,800",13712
COOLAROO,1300,237,Hume,57%,$867,"$507,200",18590
CREMORNE,901,1028,Yarra,65%,"$1,731","$1,529,500",24112
GOWANBRAE,651,337,Moreland,65%,"$1,150","$919,100",16710
BALACLAVA,1403,2485,Port Phillip,63%,"$1,449","$1,462,600",17374
RIPPONLEA,363,695,Port Phillip,69%,"$1,497","$1,641,600",10824
CARRUM,1725,1350,Kingston,76%,"$1,305","$1,047,100",12098
BURNSIDE,1290,343,Melton,57%,"$1,423","$788,300",14107
MOORABBIN,2571,1673,Kingston,69%,"$1,294","$1,283,800",13081
SEAHOLME,826,188,Hobsons Bay,70%,"$1,160","$1,316,200",11742
SUNSHINE WEST,6571,1496,Brimbank,52%,$929,"$711,000",30677
SPOTSWOOD,1274,443,Hobsons Bay,74%,"$1,626","$1,144,200",14791
SOUTHBANK,807,24380,Melbourne,52%,"$1,838","$2,621,500",4101
RESEARCH,885,162,Nillumbik,85%,"$1,923","$1,488,100",28827
SOUTH KINGSVILLE,826,527,Hobsons Bay,74%,"$1,626","$979,800",14791
CAULFIELD,1723,1630,Glen Eira,61%,"$1,547","$1,704,100",15277
HEIDELBERG HEIGHTS,2701,1386,Banyule,74%,$938,"$976,700",13096
WATSONIA NORTH,1300,60,Banyule,82%,"$1,300","$912,000",8932
DANDENONG NORTH,7575,1845,Greater Dandenong,48%,$899,"$758,400",45248
